id_orgao;nom_orgao;cod_local;nom_local;cod_tipo_material;tipo_material;id_material;nom_material;saldo_inicial_valor;saldo_inicial_qtd;entrada_qtd;entrada_valor;saida_qtd;saida_valor;saldo_final_qtd;saldo_final_valor
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;18.01;MATERIAIS DE LIMPEZA                                        ;14346004;DETERGENTE DETERGENTE L?QUIDO NEUTRO CONCENTRADO P/PISOS E PAREDES,5L;0;;20;16.990,00;20;16.990,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;15.03;UTENSILIOS MANUAIS DE COZINHA                               ;77780001;CHALEIRA DE ALUMINIO POLIDO,C/ALCA,CAP.P/03 LITROS;0;;10;216,75;10;216,75;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;15.04;UTENSILIOS PARA SERVICOS DE MESA                            ;123773001;COPO EM ACO INOX;0;;1;98,5;1;98,5;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;12.04;OBRAS LITERARIAS,JORNAIS E REVISTAS                         ;122858001;LIVROS PARA DISTRIBUICAO COLECAO NOSSO AMBIENTE;0;;25;3.685,00;25;3.685,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;13.05;SUPRIMENTOS DE INFORMATICA                                  ;64351002;CABO DE REDE EM METROS (LINEAR);0;;200;4.256,85;200;4.256,85;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;67.01;EQUIPAMENTOS E COMPONENTES DE USO MEDICO/HOSPITALAR         ;84905014;BATERIA RECARREGAVEL 12V DC 1,2 A/H 30344030 COMP.CARDIOVERSOR GE CARDIOSERV;0;;1;280;1;280;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;24.01;EQUIPAMENTOS DE GERACAO E REPRODUCACO DE SOM E IMAGEM       ;12360054;TELEVISOR 49 POLEGADAS;0;;1;2.200,00;1;2.200,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;19.03;ALIMENTOS NAO PERECIVEIS                                    ;103012001;AGUA MINERAL SEM GAS,GARRAFA PLASTICA DE 500ML.,FARDO C/12UN;0;;304;3.457,74;304;3.457,74;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;19.03;ALIMENTOS NAO PERECIVEIS                                    ;1449001;CAFE EM PO TORRADO E MOIDO ,EMB. A VACUO PURO DE 500G*;0;;10;950;10;950;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;17.03;ARTIGOS DE PAPEL PARA HIGIENE PESSOAL E CORRELATOS          ;11975001;PAPEL HIGIENICO FOLHA SIMPLES, COR BRANCA, ROLO C/ 40 METROS, EM FARDO;0;;110;3.916,92;110;3.916,92;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;61.16;LABORATORIO - DIVERSOS                                      ;90425002;FERRO CANTONEIRA FERRO CANTONEIRA 3/16 X 1 1/2 COM 6M COMPRIMENTO;0;;300;5.243,68;300;5.243,68;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;61.16;LABORATORIO - DIVERSOS                                      ;118885001;OLEO LUBRIFICANTE PARA BOMBA MEC?NICA;0;;2;205;2;205;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;10.01;ARTIGOS E UTENSILIOS DE ESCRITORIO                          ;87165003;PASTA ARQUIVO PLASTICA, TIPO MALETA MALETA POLIONDA P/ARQUIVO DE PASTA SUSPENSA(CAPAC.10 PASTAS);0;;6000;11.887,15;6000;11.887,15;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;10.02;PAPELARIA DE ESCRITORIO                                     ;77429004;CARTOLINA AZUL 240 GRAMAS (55X73CM) *;0;;25;945;25;945;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;10.02;PAPELARIA DE ESCRITORIO                                     ;30155089;PAPEL A4, RESMA COM 500 FOLHAS;0;;10;901,42;10;901,42;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;10.02;PAPELARIA DE ESCRITORIO                                     ;28266006;PASTA POLIONDAS COM ELASTICO TAMANHO OFICIO, COR AMARELA, 55 MM;0;;250;2.634,11;250;2.634,11;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;45.08;CONSTRUCAO CIVIL - DIVERSOS                                 ;81167002;CAIXA DE CORRESPONDENCIA DE PLASTICO;0;;2000;2.970,00;2000;2.970,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;45.01;MATERIAIS DE ORIGEM MINERAL                                 ;25186003;AREIA GROSSA;0;;30;2.597,04;30;2.597,04;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;45.01;MATERIAIS DE ORIGEM MINERAL                                 ;3034002;CIMENTO SACO COM 50 KG;0;;2;6.240,00;2;6.240,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;45.01;MATERIAIS DE ORIGEM MINERAL                                 ;25895001;PEDRA BRITADA (BRITA)  3/4;0;;250;5.423,83;250;5.423,83;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;45.01;MATERIAIS DE ORIGEM MINERAL                                 ;25887001;TIJOLO 6 FUROS (INTEIRO);0;;5;3.702,00;5;3.702,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;77.01;CHAPEACAO E PINTURA DE VEICULOS E EQUIPAMENTOS              ;108294001;FERRO CHATO PARA REPARO FERRO CHATO PARA REPARO DE VEICULO E EQUIPAMENTO;0;;30;2.395,25;30;2.395,25;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;50.02;TINTAS, VERNIZES E CORRELATOS                               ;3506004;TINTA ACRILICA COR VERDE, LATA 900 ML;0;;1;175,78;1;175,78;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;50.02;TINTAS, VERNIZES E CORRELATOS                               ;3352004;TINTA DE FUNDO PARA PAREDE, GALAO 3,6 L;0;;100;3.169,68;100;3.169,68;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;74.02;CHASSI                                                      ;98183003;RODA TRASEIRA ARO DA RODA TRASEIRA;0;;4;1.000,00;4;1.000,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;73.03;CAIXA DE MUDANCAS VEICULOS PESADOS                          ;93351011;TRANSMISSAO UNIDADE DE REVERSAO ROLETE DA TRASMISSAO UNIDADE DE REVERSAO;0;;1;2.170,00;1;2.170,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;73.05;EIXO DIANTEIRO VEICULOS PESADOS                             ;93742001;AMORTECEDOR DIANTEIRO-VEICULO PESADO AMORTECEDOR DIANTEIRO-VEICULO PESADO;0;;3;1.852,00;3;1.852,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;73.09;FREIOS E RODAS VEICULOS PESADOS                             ;95028004;RODAS COBERTURA DA RODA DIANTEIRA;0;;2;2.892,00;2;2.892,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;73.01;MOTOR PARA VEICULOS PESADOS                                 ;92681001;MOTOR COMPLETO E PARCIAL MOTOR COMPLETO E PARCIAL PARA VEICULO PESADO;0;;1;11.987,00;1;11.987,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;79.01;PNEUS                                                       ;99759001;"PNEUS PARA VEICULOS LEVES PNEU PARA RODA 16"", 185/55";0;;4;1.510,00;4;1.510,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;79.01;PNEUS                                                       ;99759003;"PNEUS PARA VEICULOS LEVES PNEUS PARA VEICULOS ARO  15"", 185/60";0;;2;920;2;920;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;79.01;PNEUS                                                       ;99759005;"PNEUS PARA VEICULOS LEVES PNEUS PARA VEICULOS ARO 13"", 165/70";0;;4;450;4;450;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;21.02;DESPORTO                                                    ;86380001;BOLA DE FUTEBOL SUICO SUICO NUMERO 05;0;;50;4.425,00;50;4.425,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;21.02;DESPORTO                                                    ;101893004;BOLAS DE FUTEBOL SOCIETY OFICIAL;0;;120;2.367,00;120;2.367,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;21.02;DESPORTO                                                    ;103802003;REDE PARA FUTEBOL SOCIETY;0;;120;4.194,00;120;4.194,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;58.01;MATERIAIS DE COMBATE A INCENDIO                             ;60879001;MANGOTE (RESTRITO) PARA SERVICOS PESADOS DE SUCCAO;0;;10;198;10;198;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;57.04;SINALIZACAO VISUAL                                          ;30104001;FAIXA PARA DIVULGACAO DE VINIL PARA DIVULGACAO DA LOGOMARCA;0;;30;1.632,00;30;1.632,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;41.04;TELECOMUNICACOES - DIVERSOS                                 ;90654001;INTERFACE PARA CONVERSAO DE SINAL ANALOGICO PARA SINAL DICOM;0;;10;5.175,00;10;5.175,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;54.07;CONDUTORES ELETRICOS                                        ;1759001;FIO DE COBRE 1,5MM;0;;1500;1.415,00;1500;1.415,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;54.07;CONDUTORES ELETRICOS                                        ;1759002;FIO DE COBRE 2,5MM;0;;7;3.540,00;7;3.540,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;54.07;CONDUTORES ELETRICOS                                        ;1759006;FIO DE COBRE 4,0MM EM ROLO DE 100 METROS;0;;1000;20.978,40;1000;20.978,40;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;54.07;CONDUTORES ELETRICOS                                        ;1759004;FIO DE COBRE 6,0MM;0;;400;5.957,80;400;5.957,80;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;20.01;VESTUARIO                                                   ;67644001;UNIFORME PROFISSIONAL COMPOSTO P/ JALECO E CALCA,EM ALGODAO, LOGOMARCA BORDADA;0;;10;1.779,82;10;1.779,82;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;25.02;SACOS, BOLSAS E ENVELOPES                                   ;37869003;SACO DE POLIETILENO P/ ACONDICIONAMENTO DE LIXO COR PRETA,50 LITROS,PACOTE C/10;48,3;21;;0;21;48,3;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;25.02;SACOS, BOLSAS E ENVELOPES                                   ;15083005;SACO PLASTICO P/LIXO PACOTE C/05 UNID.,CAP.100 LITROS*;0;;1250;2.412,50;1250;2.412,50;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;25.02;SACOS, BOLSAS E ENVELOPES                                   ;15083004;SACO PLASTICO P/LIXO PACOTE C/10 UNID., CAP.30 LITROS*;0;;1250;1.362,50;1250;1.362,50;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;25.02;SACOS, BOLSAS E ENVELOPES                                   ;15083003;SACO PLASTICO P/LIXO PACOTE C/10 UNID., CAP.50 LITROS*;0;;3000;7.440,00;3000;7.440,00;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;25.02;SACOS, BOLSAS E ENVELOPES                                   ;15083006;SACO PLASTICO P/LIXO PACOTE C/20 UNID.,CAP.15 LITROS*;0;;2000;5.300,00;2000;5.300,00;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;36.01;COMBUSTIVEIS-SOLIDOS, LIQUIDOS E GASOSOS                    ;2330003;GAS GLP CARGA PARA BOTIJAO DE 13KG;0;;41;3.101,00;41;3.101,00;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;36.01;COMBUSTIVEIS-SOLIDOS, LIQUIDOS E GASOSOS                    ;2313004;OLEO DIESEL ADITIVADO;0;;72;346,32;72;346,32;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;78.01;COMBUSTIVEL                                                 ;98876001;DIESEL DIESEL COMUM;0;;60;184,16;60;184,16;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;78.01;COMBUSTIVEL                                                 ;98850002;GASOLINA GASOLINA COMUM;0;;1723;7.409,99;1723;7.409,99;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.05;COMPONENTES E ACESSORIOS DE EQUIPAMENTOS - DIVERSOS         ;45721002;TELAS DE POLIETILENO;0;;275;3.143,00;275;3.143,00;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.06;CONSERVACAO E LIMPEZA - DIVERSOS                            ;64556001;MATERIAIS PARA CONSERVACAO E LIMPEZA DIVERSOS (APLICACAO DIRETA);3.360,00;1;48;249,1;49;3.609,10;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.04;EQUIPAMENTOS DE CONSERVACAO E LIMPEZA-INDUSTRIAL/HOSPITALAR ;14800002;LAVADORA DE ALTA PRESSAO ELETRICA ( TIPO LAVA JATO ) MODELO MINI.JET,PARA DETERGENTE E AGUA 220 VOLTTS;0;;1;2.160,00;1;2.160,00;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14389001;AGUA SANITARIA COM NO MINIMO 2GR% IONS CLORO ATIVO EMBALAGEM DE 1 LITRO *;4.710,81;3709;2972;3.774,44;6681;8.485,25;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14389008;AGUA SANITARIA EM LITRO;0;;5528;7.180,56;5528;7.180,56;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14320003;DESINFETANTE LIQUIDO AROMA PINHO - EMBALAGEM COM 500 ML *;8.452,52;4891;6750;9.150,00;11641;17.602,52;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14338005;DESODORIZANTE AROMATICO PARA BANHEIRO COM REFIL E SUPORTE,35 GRAMAS;0;;250;390;250;390;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14346046;DETERGENTE LIMPADOR MULTIUSO, EMBALAGEM COM 500 ML.;0;;3750;5.962,50;3750;5.962,50;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14346006;DETERGENTE LIQ.NEUTRO,BIODEGR.P/LIMP.DE ART.,UTENC.P/ PREP.DE ALIMENTO*;1.887,84;1748;;0;1748;1.887,84;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14346027;DETERGENTE LIQUIDO CONCENTRADO,P/LIMPEZA PESADA,C/TAMPA DOSADORA,500ML*;0;;3750;3.487,50;3750;3.487,50;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14346005;DETERGENTE LIQUIDO NEUTRO EMBALAGEM COM 500ML;0;;3750;3.412,50;3750;3.412,50;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14435001;LIMPA VIDRO EM EMBALAGEM DE 500 ML*;641,55;273;1000;1.520,00;1273;2.161,55;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14443001;LUSTRA MOVEIS CREMOSO EMBALAGEM DE 200 ML APROXIMADAMENTE.*;301,07;161;375;690;536;991,07;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14460001;PASTA PARA LIMPEZA EMBALAGEM COM 500 GRAMAS *;259,15;73;;0;73;259,15;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14419003;SABAO EM BARRA COMUM, COM 200 GRAMAS*;677,16;684;1500;3.075,00;2184;3.752,16;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14419001;SABAO EM BARRA DE COCO, COM 200 GRAMAS*;54,5;50;;0;50;54,5;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.01;MATERIAIS DE LIMPEZA                                        ;14400002;SAPONACEO EM PO EMBALAGEM COM 300 GRAMAS *;0;;1000;1.810,00;1000;1.810,00;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.08;MATERIAIS ESPECIFICOS PARA LAVANDERIA                       ;14427002;SABAO EM PO EMBALAGEM COM 1 KG  *;3.130,40;910;1000;3.450,00;1910;6.580,40;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.02;UTENSILIOS DE LIMPEZA                                       ;55590001;ESCOVA PARA LIMPEZA DE VASO SANITARIO,COM CERDAS DE NYLON.*;0;;300;1.554,00;300;1.554,00;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.02;UTENSILIOS DE LIMPEZA                                       ;14605001;ESCOVAO PARA LIMPEZA COM CERDAS DE NYLON E CABO DE APROX.1,20 M *;0;;200;1.768,00;200;1.768,00;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.02;UTENSILIOS DE LIMPEZA                                       ;14532011;ESPONJA PARA LIMPEZA DUPLA FACE;370,92;843;;0;843;370,92;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.02;UTENSILIOS DE LIMPEZA                                       ;14532001;ESPONJA PARA LIMPEZA DUPLA FACE, COM MATERIAL ABRASIVO *;0;;2500;2.425,00;2500;2.425,00;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.02;UTENSILIOS DE LIMPEZA                                       ;14583002;FLANELA PARA LIMPEZA PELUCIADA,COM BORDAS CHULEADAS,MED.APROX.0,60X0,40 METROS*;1.012,00;400;100;141;500;1.153,00;;0
7101;02 SEC.DE EST.DO DES.REG.-MARAVILHA               ;71010001;SDR 2-MARAVILHA               ;18.02;UTENSILIOS DE LIMPEZA                                       ;14567001;LA DE ACO TIPO BOM-BRIL EMBALAGEM COM 8 UNIDADES*;0;;500;685;500;685;;0
